"incident_id","university_id","university","date","date_formatted","hours","minutes","am_pm","unix","iso","timestamp","time","report_text","incident_category","incident_classification"
"64bfebb568b64600283d2efa","5b4bd8b22d7f5f28788b1715","San Diego State University","07/24/2023","07/24/2023","12","00","AM",1690156800000,"2023-07-24T00:00:00.000Z","07/24/2023 12:00 am",720,"<p>A religious Jew was physically assaulted in the 7-11 near campus by a man who ripped the Jewish man's tzitzit and screamed antisemitic and anti-Israel slurs [1-2] which included, ""Jews all deserve to die,"" ""Israel is killing people,"" and ""Israel doesn’t deserve to exist"" [3].","TARGETING JEWISH STUDENTS AND STAFF","PHYSICAL ASSAULT, DESTRUCTION OF JEWISH PROPERTY, DENIGRATION, DEMONIZATION"
"64be8e70b7b9d600291fc445","5b4bd8b32d7f5f28788b17b1","University of Michigan","07/17/2023","07/17/2023","12","00","AM",1.689552e+12,"2023-07-17T00:00:00.000Z","07/17/2023 12:00 am",720,"<p>Two off-campus University of Michigan fraternity houses were vandalized with broken windows and homophobic and antisemitic symbols [1], and one of them, the Jewish fraternity Sigma Alpha Mu, was vandalized with a swastika spray painted onto a window [2].","TARGETING JEWISH STUDENTS AND STAFF","DESTRUCTION OF JEWISH PROPERTY, GENOCIDAL EXPRESSION, BULLYING, HISTORICAL"
"64b18f8a6c9cc00028fc8386","5b4bd8b02d7f5f28788b15c5","Boston University","07/11/2023","07/11/2023","12","00","AM",1689033600000,"2023-07-11T00:00:00.000Z","07/11/2023 12:00 am",720,"<p>SJP chapters at Boston University and Kent State University shared a cartoon on their respective Instagram channels which alleged that Israeli salad is made from the blood of Palestinian children [1-2].","ANTISEMITIC EXPRESSION","DEMONIZATION"
"64b1914d31a6880028e685fe","5b4bd8b12d7f5f28788b1691","Kent State University","07/11/2023","07/11/2023","12","00","AM",1689033600000,"2023-07-11T00:00:00.000Z","07/11/2023 12:00 am",720,"<p>SJP chapters at Boston University and Kent State University shared a cartoon on their respective Instagram channels which alleged that Israeli salad is made from the blood of Palestinian children [1-2].","ANTISEMITIC EXPRESSION","DEMONIZATION"
"64b5706b73322f0028057a79","5b4bd8b42d7f5f28788b1803","University of Washington","07/08/2023","07/08/2023","12","00","AM",1688774400000,"2023-07-08T00:00:00.000Z","07/08/2023 12:00 am",720,"<p>SUPER UW organized an off-campus rally [1] that included signs stating, ""Long Live the Intifada"" and ""Zionism is Racism and White Supremacy""[2].","ANTISEMITIC EXPRESSION","DEMONIZATION, CONDONING TERRORISM"
"64a8a1ccdf094c0027fb508a","5b4bd8b32d7f5f28788b17b1","University of Michigan","07/06/2023","07/06/2023","12","00","AM",1688601600000,"2023-07-06T00:00:00.000Z","07/06/2023 12:00 am",720,"<p>The student newspaper, the <em>Michigan Daily</em>, published a letter to the editor titled, ""Why I, as a gay woman, believe unconditionally in justice for Palestine,"" which demonized Israel [1].","ANTISEMITIC EXPRESSION","DEMONIZATION"
"649db265cacb6300295c2135","5b4bd8b02d7f5f28788b1621","CUNY System","06/20/2023","06/20/2023","12","00","AM",1687219200000,"2023-06-20T00:00:00.000Z","06/20/2023 12:00 am",720,"<p>CUNY 4 Palestine (comprised of students and faculty across CUNY) held the event ""Confronting the Far Right on Campus"" [1], whose advertisement stated: ""We invite CUNY students, workers, families, and friends to learn how to confront and heal from attacks at our university by anti-abortion, fascist, Zionist, and other far right organizations"".","ANTISEMITIC EXPRESSION","DEMONIZATION"
"64b056e10e7ea00028feb286","5b4bd8b02d7f5f28788b1621","CUNY System","06/20/2023","06/20/2023","12","00","AM",1687219200000,"2023-06-20T00:00:00.000Z","06/20/2023 12:00 am",720,"<p>During the event ""Confronting the Far Right on Campus"" [1], organized by RAFA (Rank and File Action), CUNY4Palestine, CUNY4Abortion Rights, and Faculty First Responders, speaker Nerdeen Kiswani charged the university with acquiescing to ""these Zionist organizations and donors"" and claimed everyone lived peacefully in Palestine prior to the ""settler colonial state that was established to colonize Palestine to create an ethno-state where [the] Jewish people have all the rights [as that's] what Zionism is [but] Judaism is completely different from that"" as well as ""I’m not just against the practices of Israel but its very existence""[2-3].","ANTISEMITIC EXPRESSION","DENYING JEWS SELF-DETERMINATION, DEMONIZATION"
"649092e741e557001def61cc","5b4bd8b22d7f5f28788b1717","San Francisco State University","06/17/2023","06/17/2023","12","00","AM",1.68696e+12,"2023-06-17T00:00:00.000Z","06/17/2023 12:00 am",720,"<p>AMED Studies promoted an article written in <em>Mondoweiss</em> by AMED director Rabab Abdulhadi titled ""Life Under Occupation: Death and Dying in Palestine"" for Fathers Day, with AMED highlighting passages from the article including, ""On this day I miss you my dear Baba and honor you and your legacy - a dispossessed Palestinian, a factory worker, an undocumented student, a victim of racism and McCarthyism, a fighter for Palestinian and Arab liberation, a haunting reminder of the brutality of Israeli colonialism and a loving and wise father"" followed by AMED's commentary of, ""Ibrahim Abdulhadi [spent] his life struggling against McCarthyism, segregation, and the Zionist settler colonial regime that stripped him of his land [and] he died because the totalizing Israeli-imposed curfew prohibited his doctors and the ambulance from reaching him"" and called on supporters to ""unapologetically challenge and defeath [Israeli] hasbara [which portrays Palestinian fathers in 'racist and orientalist narratives']""[1].","ANTISEMITIC EXPRESSION","DEMONIZATION"
"6487482591ea7d002a563b5b","5c956dec05c0d9085047d84c","El Camino College","06/12/2023","06/12/2023","12","00","AM",1.686528e+12,"2023-06-12T00:00:00.000Z","06/12/2023 12:00 am",720,"<p>During her graduation speech, the student association president, Jana Abulaban, demonized Israel stating, ""I gift my graduation to all Palestinians who have lost their lives and those who continue to lose their lives everyday due to the oppressive apartheid state of Israel, killing and torturing Palestinians as we speak"" [1].","ANTISEMITIC EXPRESSION","DEMONIZATION"
